fg_phenotype	fg_link	ukbb_phenotype	ukbb_link
AB1_ASPERGILLOSIS	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_AB1_ASPERGILLOSIS.gz	B44	gs://pan-ukbb-refinery/lifted/icd10-B44-both_sexes.tsv.bgz.lifted.gz
AB1_CANDIDIASIS	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_AB1_CANDIDIASIS.gz	B37	gs://pan-ukbb-refinery/lifted/icd10-B37-both_sexes.tsv.bgz.lifted.gz
AB1_CMV	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_AB1_CMV.gz	B25	gs://pan-ukbb-refinery/lifted/icd10-B25-both_sexes.tsv.bgz.lifted.gz
AB1_DERMATOPHYTOSIS	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_AB1_DERMATOPHYTOSIS.gz	B35	gs://pan-ukbb-refinery/lifted/icd10-B35-both_sexes.tsv.bgz.lifted.gz
AB1_GASTROENTERITIS_NOS	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_AB1_GASTROENTERITIS_NOS.gz	A09	gs://pan-ukbb-refinery/lifted/icd10-A09-both_sexes.tsv.bgz.lifted.gz
AB1_HELMINTIASES	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_AB1_HELMINTIASES.gz	134	gs://pan-ukbb-refinery/lifted/phecode-134-both_sexes.tsv.bgz.lifted.gz
AB1_HERPES_SIMPLEX	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_AB1_HERPES_SIMPLEX.gz	B00	gs://pan-ukbb-refinery/lifted/icd10-B00-both_sexes.tsv.bgz.lifted.gz
AB1_OTHER_BACT_INOTHER	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_AB1_OTHER_BACT_INOTHER.gz	B96	gs://pan-ukbb-refinery/lifted/icd10-B96-both_sexes.tsv.bgz.lifted.gz
AB1_OTHER_SEPSIS	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_AB1_OTHER_SEPSIS.gz	A41	gs://pan-ukbb-refinery/lifted/icd10-A41-both_sexes.tsv.bgz.lifted.gz
AB1_SALMONELLA_OTH	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_AB1_SALMONELLA_OTH.gz	A02	gs://pan-ukbb-refinery/lifted/icd10-A02-both_sexes.tsv.bgz.lifted.gz
AB1_STREPTO_SEPSIS	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_AB1_STREPTO_SEPSIS.gz	A40	gs://pan-ukbb-refinery/lifted/icd10-A40-both_sexes.tsv.bgz.lifted.gz
AB1_STREPTSTAPHYCOCC_INOTHER	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_AB1_STREPTSTAPHYCOCC_INOTHER.gz	B95	gs://pan-ukbb-refinery/lifted/icd10-B95-both_sexes.tsv.bgz.lifted.gz
AB1_VIRAL_INOTHER	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_AB1_VIRAL_INOTHER.gz	B97	gs://pan-ukbb-refinery/lifted/icd10-B97-both_sexes.tsv.bgz.lifted.gz
AB1_VIRAL_MENINGITIS	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_AB1_VIRAL_MENINGITIS.gz	A87	gs://pan-ukbb-refinery/lifted/icd10-A87-both_sexes.tsv.bgz.lifted.gz
AB1_VIRAL_OTHER_INTEST_INFECTIONS	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_AB1_VIRAL_OTHER_INTEST_INFECTIONS.gz	A08	gs://pan-ukbb-refinery/lifted/icd10-A08-both_sexes.tsv.bgz.lifted.gz
AB1_ZOSTER	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_AB1_ZOSTER.gz	B02	gs://pan-ukbb-refinery/lifted/icd10-B02-both_sexes.tsv.bgz.lifted.gz
ALCOHOLMENTAL	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_ALCOHOLMENTAL.gz	F10	gs://pan-ukbb-refinery/lifted/icd10-F10-both_sexes.tsv.bgz.lifted.gz
ALCOLIVER	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_ALCOLIVER.gz	317.11	gs://pan-ukbb-refinery/lifted/phecode-317.11-both_sexes.tsv.bgz.lifted.gz
APPENDACUT_NOCOMPLIC	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_APPENDACUT_NOCOMPLIC.gz	540.11	gs://pan-ukbb-refinery/lifted/phecode-540.11-both_sexes.tsv.bgz.lifted.gz
APPENDICITIS_BROAD	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_APPENDICITIS_BROAD.gz	540.1	gs://pan-ukbb-refinery/lifted/phecode-540.1-both_sexes.tsv.bgz.lifted.gz
		278.1	gs://pan-ukbb-refinery/lifted/phecode-278.1-both_sexes.tsv.bgz.lifted.gz
ASTHMA_CHILD	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_ASTHMA_CHILD.gz	495	gs://pan-ukbb-refinery/lifted/phecode-495-both_sexes.tsv.bgz.lifted.gz
ASTHMA_HOSPITAL_MAIN	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_ASTHMA_HOSPITAL_MAIN.gz	495	gs://pan-ukbb-refinery/lifted/phecode-495-both_sexes.tsv.bgz.lifted.gz
ASTHMA_MODE	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_ASTHMA_MODE.gz	495.2	gs://pan-ukbb-refinery/lifted/phecode-495.2-both_sexes.tsv.bgz.lifted.gz
		204.1	gs://pan-ukbb-refinery/lifted/phecode-204.1-both_sexes.tsv.bgz.lifted.gz
C3_AML	gs://finngen-production-library-green/finngen_R6/finngen_R6_analysis_data/summary_stats/release/finngen_R6_C3_AML.gz	C92	gs://pan-ukbb-refinery/lifted/icd10-C92-both_sexes.tsv.bgz.lifted.gz
